,id,name,position,games,goals,assists
39,8478512,Austin Czarnik,Forward,4.0,0.0,0.0
40,8478965,Ken Appleby,Goalie,,,
41,8479356,Kieffer Bellows,Forward,14.0,3.0,0.0
42,8479526,Otto Koivula,Forward,,,
43,8479583,Anatoli Golyshev,Forward,,,
44,8480071,Robin Salo,Defenseman,,,
45,8480222,Sebastian Aho,Defenseman,3.0,1.0,1.0
46,8480306,Grant Hutton,Defenseman,,,
47,8480789,Oliver Wahlstrom,Forward,44.0,12.0,9.0
48,8480826,Bode Wilde,Defenseman,,,
49,8480865,Noah Dobson,Defenseman,46.0,3.0,11.0
50,8481541,Samuel Bolduc,Defenseman,,,
51,8481601,Simon Holmstrom,Forward,,,
52,8471817,Ryan Reaves,Forward,37.0,1.0,4.0
53,8475184,Chris Kreider,Forward,50.0,20.0,10.0
54,8475735,Greg McKegg,Forward,5.0,1.0,0.0
55,8475747,Patrik Nemeth,Defenseman,52.0,3.0,7.0
56,8475797,Jarred Tinordi,Defenseman,21.0,0.0,1.0
57,8475868,Anthony Bitetto,Defenseman,14.0,1.0,3.0
58,8476234,Keith Kinkaid,Goalie,9.0,0.0,0.0
59,8476458,Ryan Strome,Forward,56.0,14.0,35.0
60,8476459,Mika Zibanejad,Forward,56.0,24.0,26.0
61,8476624,Barclay Goodrow,Forward,55.0,6.0,14.0
62,8476885,Jacob Trouba,Defenseman,38.0,2.0,10.0
63,8478048,Igor Shesterkin,Goalie,35.0,0.0,0.0
64,8478104,Sammy Blais,Forward,36.0,8.0,7.0
65,8478211,Dryden Hunt,Forward,26.0,3.0,5.0
66,8478550,Artemi Panarin,Forward,42.0,17.0,41.0
67,8479291,Kevin Rooney,Forward,54.0,8.0,6.0
68,8479323,Adam Fox,Defenseman,55.0,5.0,42.0
69,8479324,Ryan Lindgren,Defenseman,51.0,1.0,15.0
70,8479328,Julien Gauthier,Forward,30.0,2.0,6.0
71,8479333,Libor Hajek,Defenseman,44.0,2.0,2.0
72,8480382,Alexandar Georgiev,Goalie,19.0,0.0,0.0
73,8480817,K'Andre Miller,Defenseman,53.0,5.0,7.0
74,8480833,Vitali Kravtsov,Forward,20.0,2.0,2.0
75,8481554,Kaapo Kakko,Forward,48.0,9.0,8.0
76,8481708,Zac Jones,Defenseman,10.0,0.0,4.0
77,8482109,Alexis Lafrenière,Forward,56.0,12.0,9.0
78,8480028,Morgan Frost,Forward,2.0,0.0,0.0
79,8470775,Nate Thompson,Forward,44.0,2.0,3.0
80,8473512,Claude Giroux,Forward,54.0,16.0,27.0
